	0	1						",0,1"
97	116	"""{'lat'"	-71.069849	'avrg_waiting'	7.571895055	'lon'	"42.356052000000005}"""	"97,116.0,""{'lat': -71.069849, 'avrg_waiting': 7.5718950547376354, 'lon': 42.356052000000005}"""
98	117	"""{'lat'"	-71.052984	'avrg_waiting'	10.30679868	'lon'	"42.358508}"""	"98,117.0,""{'lat': -71.052984, 'avrg_waiting': 10.306798679867986, 'lon': 42.358508}"""
99	120	"""{'lat'"	-71.115645	'avrg_waiting'	30.11427649	'lon'	"42.309467}"""	"99,120.0,""{'lat': -71.115645, 'avrg_waiting': 30.114276485788114, 'lon': 42.309467}"""
100	121	"""{'lat'"	-71.114175	'avrg_waiting'	25.49470588	'lon'	"42.31309}"""	"100,121.0,""{'lat': -71.114175, 'avrg_waiting': 25.494705882352946, 'lon': 42.31309}"""
101	122	"""{'lat'"	-71.110833	'avrg_waiting'	17.19545455	'lon'	"42.320997999999996}"""	"101,122.0,""{'lat': -71.110833, 'avrg_waiting': 17.195454545454545, 'lon': 42.320997999999996}"""
102	124	"""{'lat'"	-71.107341	'avrg_waiting'	22.13169935	'lon'	"42.310579}"""	"102,124.0,""{'lat': -71.107341, 'avrg_waiting': 22.131699346405231, 'lon': 42.310579}"""
103	126	"""{'lat'"	-71.13493	'avrg_waiting'	39.19034768	'lon'	"42.339335}"""	"103,126.0,""{'lat': -71.13493000000001, 'avrg_waiting': 39.190347678093829, 'lon': 42.339335}"""
104	127	"""{'lat'"	-71.128374	'avrg_waiting'	43.93199285	'lon'	"42.346563}"""	"104,127.0,""{'lat': -71.128374, 'avrg_waiting': 43.931992850759613, 'lon': 42.346563}"""
105	128	"""{'lat'"	-71.08497	'avrg_waiting'	166.9107559	'lon'	"42.362457}"""	"105,128.0,""{'lat': -71.08497, 'avrg_waiting': 166.91075593084037, 'lon': 42.362457}"""
106	129	"""{'lat'"	-71.118201	'avrg_waiting'	46.16307758	'lon'	"42.369832}"""	"106,129.0,""{'lat': -71.118201, 'avrg_waiting': 46.163077578857639, 'lon': 42.369832}"""
107	130	"""{'lat'"	-71.114025	'avrg_waiting'	26.18878899	'lon'	"42.376369}"""	"107,130.0,""{'lat': -71.114025, 'avrg_waiting': 26.188788993325158, 'lon': 42.376369}"""
108	131	"""{'lat'"	-71.113687	'avrg_waiting'	40.40832803	'lon'	"42.356953999999995}"""	"108,131.0,""{'lat': -71.113687, 'avrg_waiting': 40.408328025477722, 'lon': 42.356953999999995}"""
109	132	"""{'lat'"	-71.116865	'avrg_waiting'	30.05107448	'lon'	"42.377945000000004}"""	"109,132.0,""{'lat': -71.116865, 'avrg_waiting': 30.051074475065608, 'lon': 42.377945000000004}"""
110	133	"""{'lat'"	-71.125107	'avrg_waiting'	33.73165698	'lon'	"42.380287}"""	"110,133.0,""{'lat': -71.125107, 'avrg_waiting': 33.731656981075837, 'lon': 42.380287}"""
111	134	"""{'lat'"	-71.130516	'avrg_waiting'	30.20833333	'lon'	"42.397828000000004}"""	"111,134.0,""{'lat': -71.130516, 'avrg_waiting': 30.208333333333332, 'lon': 42.397828000000004}"""
112	135	"""{'lat'"	-71.104412	'avrg_waiting'	35.66824661	'lon'	"42.370803}"""	"112,135.0,""{'lat': -71.104412, 'avrg_waiting': 35.668246614397724, 'lon': 42.370803}"""
113	136	"""{'lat'"	-71.086388	'avrg_waiting'	24.40428325	'lon'	"42.366095}"""	"113,136.0,""{'lat': -71.086388, 'avrg_waiting': 24.404283246977549, 'lon': 42.366095}"""
114	137	"""{'lat'"	-71.119084	'avrg_waiting'	29.97854827	'lon'	"42.387995000000004}"""	"114,137.0,""{'lat': -71.119084, 'avrg_waiting': 29.978548273432001, 'lon': 42.387995000000004}"""
115	138	"""{'lat'"	-71.113341	'avrg_waiting'	85.35119586	'lon'	"42.385582}"""	"115,138.0,""{'lat': -71.113341, 'avrg_waiting': 85.351195862960566, 'lon': 42.385582}"""
116	139	"""{'lat'"	-71.123024	'avrg_waiting'	28.10502788	'lon'	"42.396969}"""	"116,139.0,""{'lat': -71.123024, 'avrg_waiting': 28.10502787733969, 'lon': 42.396969}"""
117	140	"""{'lat'"	-71.112708	'avrg_waiting'	29.93821531	'lon'	"42.400146}"""	"117,140.0,""{'lat': -71.112708, 'avrg_waiting': 29.938215307582251, 'lon': 42.400146}"""
118	141	"""{'lat'"	-71.116772	'avrg_waiting'	43.96287313	'lon'	"42.400877}"""	"118,141.0,""{'lat': -71.116772, 'avrg_waiting': 43.962873134328362, 'lon': 42.400877}"""
119	142	"""{'lat'"	-71.123413	'avrg_waiting'	20.73282961	'lon'	"42.40449}"""	"119,142.0,""{'lat': -71.123413, 'avrg_waiting': 20.732829610162067, 'lon': 42.40449}"""
120	143	"""{'lat'"	-71.10942	'avrg_waiting'	23.99100318	'lon'	"42.39082}"""	"120,143.0,""{'lat': -71.10942, 'avrg_waiting': 23.991003184713378, 'lon': 42.39082}"""
121	144	"""{'lat'"	-71.126908	'avrg_waiting'	17.41264846	'lon'	"42.402763}"""	"121,144.0,""{'lat': -71.126908, 'avrg_waiting': 17.412648456057006, 'lon': 42.402763}"""
